date,treatment,station,measurement,observations,mean_value,min_value,max_value
2024-05-01,agrivoltaic,PV,irradiance,283,160.2162544169611,0.0,708.0
2024-05-01,agrivoltaic,SS,humidity,281,6.561921708185054,3.75,44.5
2024-05-01,agrivoltaic,SS,temperature,279,33.885448028673835,30.97,40.3
2024-05-01,agrivoltaic,TI,humidity,94,61.110638297872335,34.2,72.5
2024-05-01,agrivoltaic,TI,temperature,93,33.29032258064516,17.4,39.9
2024-05-01,ambient,,humidity,93,61.7536559139785,4.29,72.8
2024-05-01,ambient,,temperature,93,32.94440860215054,29.8,38.2
2024-05-01,ground_mounted_pv,PV,irradiance,93,152.59139784946237,0.0,677.0
2024-05-01,open_sun_control,SS,humidity,233,4.0368240343347646,3.36,32.42
2024-05-01,open_sun_control,SS,temperature,233,33.687210300429186,12.63,43.92
2024-05-01,open_sun_control,TI,humidity,188,60.344148936170214,31.0,75.3
2024-05-01,open_sun_control,TI,temperature,187,33.90213903743315,29.0,42.0
2024-05-02,agrivoltaic,PV,irradiance,864,177.88657407407408,0.0,901.0
2024-05-02,agrivoltaic,PV,temperature,371,15.957951482479784,11.2,22.7
2024-05-02,agrivoltaic,SS,humidity,864,6.1153125,3.75,10.3
2024-05-02,agrivoltaic,SS,temperature,864,33.556921296296295,30.3,41.02
2024-05-02,agrivoltaic,TI,humidity,288,61.09305555555555,39.7,73.5
2024-05-02,agrivoltaic,TI,temperature,288,32.993750000000006,29.2,40.0
2024-05-02,ambient,,humidity,288,61.28923611111111,42.2,74.0
2024-05-02,ambient,,temperature,288,32.544444444444444,28.9,38.3
2024-05-02,ground_mounted_pv,PV,irradiance,288,174.53125,0.0,876.0
2024-05-02,open_sun_control,SS,humidity,670,6.3553582089552245,3.28,14.18
2024-05-02,open_sun_control,SS,temperature,670,32.906253731343284,27.55,50.11
2024-05-02,open_sun_control,TI,humidity,576,59.55850694444444,33.1,75.1
2024-05-02,open_sun_control,TI,temperature,576,33.627604166666664,28.6,44.9
2024-05-03,agrivoltaic,PV,irradiance,864,229.16666666666666,0.0,978.0
2024-05-03,agrivoltaic,PV,temperature,222,22.51306306306306,19.4,25.7
2024-05-03,agrivoltaic,SS,humidity,864,6.089155092592592,3.62,10.47
2024-05-03,agrivoltaic,SS,temperature,864,34.81670138888889,30.18,44.09
2024-05-03,agrivoltaic,TI,humidity,288,56.96458333333333,28.5,77.3
2024-05-03,agrivoltaic,TI,temperature,288,34.91493055555556,29.1,47.3
2024-05-03,ambient,,humidity,288,57.503125000000004,35.0,77.6
2024-05-03,ambient,,temperature,288,34.19756944444444,29.0,41.5
2024-05-03,ground_mounted_pv,PV,irradiance,288,222.875,0.0,957.0
2024-05-03,ground_mounted_pv,PV,temperature,73,22.498630136986304,19.8,25.3
2024-05-03,open_sun_control,SS,humidity,576,4.26078125,3.23,6.05
2024-05-03,open_sun_control,SS,temperature,576,36.080104166666665,28.28,53.94
2024-05-03,open_sun_control,TI,humidity,576,55.439062500000006,28.4,79.7
2024-05-03,open_sun_control,TI,temperature,576,35.56805555555556,28.1,46.9
2024-05-04,agrivoltaic,PV,irradiance,864,259.59606481481484,0.0,988.0
2024-05-04,agrivoltaic,PV,temperature,217,22.938248847926268,20.0,26.1
2024-05-04,agrivoltaic,SS,humidity,864,5.954201388888889,3.62,10.3
2024-05-04,agrivoltaic,SS,temperature,864,35.27005787037037,30.49,45.11
2024-05-04,agrivoltaic,TI,humidity,288,53.5,27.8,73.3
2024-05-04,agrivoltaic,TI,temperature,288,35.27326388888889,28.8,47.0
2024-05-04,ambient,,humidity,288,54.56388888888889,35.2,73.5
2024-05-04,ambient,,temperature,288,34.32048611111111,28.6,41.7
2024-05-04,ground_mounted_pv,PV,irradiance,288,250.86111111111111,0.0,970.0
2024-05-04,ground_mounted_pv,PV,temperature,67,22.580597014925374,20.2,25.4
2024-05-04,open_sun_control,SS,humidity,607,3.7922570016474464,3.13,4.51
2024-05-04,open_sun_control,SS,temperature,607,37.065304777594726,29.3,56.99
2024-05-04,open_sun_control,TI,humidity,576,51.84375,27.5,76.5
2024-05-04,open_sun_control,TI,temperature,576,36.197048611111114,27.7,48.2
2024-05-05,agrivoltaic,PV,irradiance,864,224.00578703703704,0.0,971.0
2024-05-05,agrivoltaic,PV,temperature,178,21.680898876404495,20.0,25.1
2024-05-05,agrivoltaic,SS,humidity,864,5.860717592592592,3.62,10.1
2024-05-05,agrivoltaic,SS,temperature,864,35.37820601851852,31.21,44.09
2024-05-05,agrivoltaic,TI,humidity,288,54.75416666666667,30.3,70.8
2024-05-05,agrivoltaic,TI,temperature,288,35.30243055555556,29.7,47.2
2024-05-05,ambient,,humidity,288,55.62638888888889,38.1,71.0
2024-05-05,ambient,,temperature,288,34.553124999999994,29.5,41.0
2024-05-05,ground_mounted_pv,PV,irradiance,288,214.10416666666666,0.0,931.0
2024-05-05,ground_mounted_pv,PV,temperature,49,21.397959183673468,20.1,24.5
